refdes,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,NaT
CE06ISSP-SP001-07-SPKIRJ000,,,,,,,,,,,,,,,,,,,,,,,0.06451612903225806,,0.16129032258064516,0.0967741935483871,,,,,,,,,0.1935483870967742,,0.16129032258064516,0.5483870967741935,,,,,,,,,,,0.1935483870967742,0.3548387096774194,,,
CE06ISSP-SP001-08-FLORTJ000,,,,,,,,,,,,,,,,,,,,,,,,,0.16129032258064516,0.0967741935483871,,,,,,,,,0.16129032258064516,,0.16129032258064516,0.5483870967741935,,,,,,,,,,,0.1935483870967742,0.3548387096774194,,,
CE06ISSP-SP001-09-CTDPFJ000,,,,,,,,,,,,,,,,,,,,,,,0.0967741935483871,,0.16129032258064516,0.0967741935483871,,,,,,,,,0.1935483870967742,,0.16129032258064516,0.5483870967741935,,,,,,,,,,,0.1935483870967742,0.3548387096774194,,,
CE06ISSP-SP001-10-PARADJ000,,,,,,,,,,,,,,,,,,,,,,,0.03225806451612903,,0.16129032258064516,0.0967741935483871,,,,,,,,,0.16129032258064516,,0.16129032258064516,0.5483870967741935,,,,,,,,,,,0.1935483870967742,0.3548387096774194,,,
CE07SHSM-MFD35-01-VEL3DD000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6666666666666666,0.7096774193548387,0.3,,,,,
CE07SHSM-MFD35-02-PRESFB000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE07SHSM-MFD35-04-ADCPTC000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8709677419354839,1.0,1.0,0.3870967741935484,0.36666666666666664,0.41935483870967744,,,,,,0.6333333333333333,0.9354838709677419,0.03333333333333333,,,,,
CE07SHSM-MFD35-05-PCO2WB000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6451612903225806,0.7333333333333333,0.7419354838709677,0.2903225806451613,0.1,0.0967741935483871,,,,,,0.16666666666666666,0.25806451612903225,0.06666666666666667,,,,,
CE07SHSM-MFD35-06-PHSEND000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8709677419354839,1.0,1.0,0.3870967741935484,0.36666666666666664,0.41935483870967744,,,,,,0.6333333333333333,0.9354838709677419,0.3,,,,,
CE07SHSM-MFD37-01-OPTAAD000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7096774193548387,0.8666666666666667,0.8387096774193549,0.3225806451612903,,,,,,,,0.5333333333333333,0.8064516129032258,0.23333333333333334,,,,,
CE07SHSM-MFD37-03-CTDBPC000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8709677419354839,1.0,1.0,0.3870967741935484,0.36666666666666664,1.0,1.0,0.7741935483870968,,,,0.6333333333333333,0.9354838709677419,0.3,,,,,
CE07SHSM-MFD37-03-DOSTAD000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8709677419354839,1.0,1.0,0.3870967741935484,0.36666666666666664,1.0,1.0,0.7741935483870968,,,,0.6333333333333333,0.9354838709677419,0.3,,,,,
CE07SHSM-RID26-01-ADCPTA000,,,,,,,,,,,,,,,,,,,,,,0.5333333333333333,1.0,0.6666666666666666,,,,,,,,,,,0.8709677419354839,0.7666666666666667,,,0.36666666666666664,1.0,1.0,0.8387096774193549,,,,0.6333333333333333,0.3548387096774194,,,,,,
CE07SHSM-RID26-04-VELPTA000,,,,,,,,,,,,,,,,,,,,,,0.3,,0.7666666666666667,0.8387096774193549,,,0.6129032258064516,1.0,0.3225806451612903,1.0,1.0,1.0,1.0,0.41935483870967744,,,,0.36666666666666664,1.0,1.0,0.8387096774193549,,,,0.6333333333333333,1.0,1.0,0.4838709677419355,0.3548387096774194,0.4666666666666667,,
CE07SHSM-RID26-06-PHSEND000,,,,,,,,,,,,,,,,,,,,,,0.5333333333333333,1.0,1.0,1.0,1.0,0.7666666666666667,0.6129032258064516,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8387096774193549,,,,0.6333333333333333,1.0,1.0,0.4838709677419355,0.3225806451612903,0.4666666666666667,,
CE07SHSM-RID26-07-NUTNRB000,,,,,,,,,,,,,,,,,,,,,,0.5333333333333333,1.0,1.0,1.0,1.0,0.7666666666666667,0.6129032258064516,1.0,0.3225806451612903,1.0,1.0,1.0,1.0,0.41935483870967744,,,,,,,,,,,,,,,,,,
CE07SHSM-RID26-08-SPKIRB000,,,,,,,,,,,,,,,,,,,,,,0.4666666666666667,0.8387096774193549,0.8666666666666667,0.8709677419354839,0.8387096774193549,0.6333333333333333,0.5483870967741935,0.8333333333333334,0.8709677419354839,0.8387096774193549,0.8620689655172413,0.8709677419354839,0.8666666666666667,0.7741935483870968,0.8666666666666667,0.8387096774193549,0.8709677419354839,0.8333333333333334,0.8387096774193549,0.8666666666666667,0.6451612903225806,,,,0.5333333333333333,0.8709677419354839,0.8666666666666667,0.3548387096774194,0.2903225806451613,0.2,,
CE07SHSM-RID27-01-OPTAAD000,,,,,,,,,,,,,,,,,,,,,,0.4666666666666667,0.8387096774193549,0.8666666666666667,0.8709677419354839,0.8387096774193549,0.6333333333333333,0.5483870967741935,0.8333333333333334,0.8709677419354839,0.8387096774193549,0.8620689655172413,0.8709677419354839,0.8666666666666667,0.8387096774193549,0.8666666666666667,0.8387096774193549,0.8709677419354839,0.8,0.8387096774193549,0.8666666666666667,0.6451612903225806,,,,0.5333333333333333,0.8064516129032258,,,,,,
CE07SHSM-RID27-02-FLORTD000,,,,,,,,,,,,,,,,,,,,,,0.4666666666666667,0.8387096774193549,0.8666666666666667,0.8709677419354839,0.8387096774193549,0.6333333333333333,0.5483870967741935,0.8333333333333334,0.8709677419354839,0.8387096774193549,0.8620689655172413,0.5161290322580645,,0.6774193548387096,0.8666666666666667,0.8387096774193549,0.8709677419354839,0.8333333333333334,0.8387096774193549,0.8666666666666667,0.6451612903225806,,,,0.5333333333333333,0.8709677419354839,0.9,0.3870967741935484,0.3225806451612903,0.43333333333333335,,
CE07SHSM-RID27-03-CTDBPC000,,,,,,,,,,,,,,,,,,,,,,0.5333333333333333,1.0,1.0,1.0,1.0,0.7666666666666667,0.6129032258064516,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8387096774193549,,,,0.6333333333333333,1.0,1.0,0.4838709677419355,0.3548387096774194,0.4666666666666667,,
CE07SHSM-RID27-04-DOSTAD000,,,,,,,,,,,,,,,,,,,,,,0.4666666666666667,0.8387096774193549,0.8666666666666667,0.8709677419354839,0.8387096774193549,0.6333333333333333,0.5483870967741935,0.8333333333333334,0.8709677419354839,0.8387096774193549,0.8620689655172413,0.8709677419354839,0.8666666666666667,0.8064516129032258,0.8666666666666667,0.8387096774193549,0.8709677419354839,0.8333333333333334,0.8387096774193549,0.8666666666666667,0.6451612903225806,,,,0.5333333333333333,0.8709677419354839,0.9,0.3870967741935484,0.3225806451612903,0.43333333333333335,,
CE07SHSM-SBD11-04-VELPTA000,,,,,,,,,,,,,,,,,,,,,,0.5333333333333333,1.0,1.0,1.0,1.0,0.7666666666666667,0.6129032258064516,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8064516129032258,,,,0.6333333333333333,1.0,1.0,0.5806451612903226,0.3548387096774194,0.5333333333333333,,
CE07SHSM-SBD11-06-METBKA000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE07SHSM-SBD12-04-PCO2AA000,,,,,,,,,,,,,,,,,,,,,,0.5333333333333333,1.0,1.0,1.0,1.0,0.7666666666666667,0.6129032258064516,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7741935483870968,,,,0.6,0.9354838709677419,0.7333333333333333,,0.3548387096774194,0.4666666666666667,,
CE07SHSM-SBD12-05-WAVSSA000,,,,,,,,,,,,,,,,,,,,,,0.5333333333333333,1.0,1.0,1.0,1.0,0.7666666666666667,0.6129032258064516,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7741935483870968,,,,0.6333333333333333,1.0,1.0,0.4838709677419355,0.3548387096774194,0.5,,
CE07SHSP-SP001-01-DOSTAJ000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE07SHSP-SP001-02-VELPTJ000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE07SHSP-SP001-04-OPTAAJ000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE07SHSP-SP001-05-NUTNRJ000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE07SHSP-SP001-06-SPKIRJ000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE07SHSP-SP001-07-FLORTJ000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE07SHSP-SP001-08-CTDPFJ000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE07SHSP-SP001-09-PARADJ000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE09OSPM-WFP01-01-VEL3DK000,,,,,,,,,,0.26666666666666666,,,,,,0.6774193548387096,0.8333333333333334,0.8709677419354839,0.8709677419354839,0.8571428571428571,0.8387096774193549,0.8666666666666667,0.8387096774193549,0.8666666666666667,0.8709677419354839,0.8387096774193549,0.8666666666666667,0.7741935483870968,0.8333333333333334,0.16129032258064516,,,,,0.5483870967741935,0.8666666666666667,0.8387096774193549,0.8709677419354839,0.8666666666666667,0.3548387096774194,,,,,,0.4,0.8709677419354839,0.8666666666666667,0.03225806451612903,,,,
CE09OSPM-WFP01-02-DOFSTK000,,,,,,,,,,0.26666666666666666,,,,,,0.6774193548387096,0.8333333333333334,0.8709677419354839,0.8709677419354839,0.8571428571428571,0.8387096774193549,0.8333333333333334,0.8387096774193549,0.8666666666666667,0.8709677419354839,0.8387096774193549,0.8666666666666667,0.8709677419354839,0.8333333333333334,0.16129032258064516,,,,,0.5483870967741935,0.8666666666666667,0.8387096774193549,0.8709677419354839,0.8333333333333334,0.3870967741935484,0.1,0.06451612903225806,0.0967741935483871,0.10714285714285714,0.06451612903225806,0.6,0.8387096774193549,0.8333333333333334,0.06451612903225806,,,,
CE09OSPM-WFP01-03-CTDPFK000,,,,,,,,,,0.26666666666666666,,,,,,0.6774193548387096,0.8333333333333334,0.8709677419354839,0.8709677419354839,0.8571428571428571,0.8387096774193549,0.8666666666666667,0.8387096774193549,0.8666666666666667,0.8709677419354839,0.8387096774193549,0.8666666666666667,0.8709677419354839,0.8333333333333334,0.16129032258064516,,,,,0.5483870967741935,0.8666666666666667,0.8387096774193549,0.8709677419354839,0.8666666666666667,0.7096774193548387,0.4666666666666667,0.4838709677419355,0.5161290322580645,0.42857142857142855,0.5483870967741935,0.6666666666666666,0.8387096774193549,0.8333333333333334,0.06451612903225806,,,,
CE09OSPM-WFP01-04-FLORTK000,,,,,,,,,,0.36666666666666664,,,,,,0.7741935483870968,1.0,1.0,1.0,1.0,1.0,0.9666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1935483870967742,,,,,0.6451612903225806,1.0,1.0,1.0,1.0,0.45161290322580644,,,,,,0.6333333333333333,1.0,1.0,0.12903225806451613,,,,
CE09OSPM-WFP01-05-PARADK000,,,,,,,,,,0.36666666666666664,,,,,,0.7741935483870968,1.0,1.0,1.0,1.0,1.0,0.9666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1935483870967742,,,,,0.6451612903225806,1.0,1.0,1.0,1.0,0.45161290322580644,,,,,,0.6333333333333333,1.0,1.0,0.12903225806451613,,,,
CE09OSSM-MFD35-01-VEL3DD000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23333333333333334,0.8064516129032258,0.23333333333333334,,,,,,,,,,,,
CE09OSSM-MFD35-02-PRESFC000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE09OSSM-MFD35-04-ADCPSJ000,,,,,,,,,,,,,,,,,,,,,,0.13333333333333333,,,,,,,,,,,,,,,,,,,,,,,,0.6333333333333333,1.0,1.0,1.0,0.03225806451612903,,,
CE09OSSM-MFD35-05-PCO2WB000,,,,,,,,,,,,,,,,,,,,,,0.03333333333333333,,,,,,,,,,,,,,,,,0.06666666666666667,0.22580645161290322,0.3,0.25806451612903225,0.16129032258064516,,,0.03333333333333333,,,,,,,
CE09OSSM-MFD35-06-PHSEND000,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,0.3333333333333333,1.0,1.0,1.0,0.7096774193548387,,,0.6333333333333333,0.9032258064516129,1.0,1.0,0.5161290322580645,0.26666666666666666,,
CE09OSSM-MFD37-01-OPTAAC000,,,,,,,,,,,,,,,,,,,,,,0.06666666666666667,,,,,,,,,,,,,,,,,0.3,0.8387096774193549,0.8666666666666667,0.8709677419354839,0.5806451612903226,,,0.5333333333333333,0.8709677419354839,0.8666666666666667,0.8387096774193549,0.45161290322580644,0.23333333333333334,,
CE09OSSM-MFD37-03-CTDBPE000,,,,,,,,,,,,,,,,,,,,,,0.03333333333333333,,,,,,,,,,,,,,,,,0.3333333333333333,1.0,1.0,1.0,0.7096774193548387,,,0.6333333333333333,1.0,1.0,1.0,0.5161290322580645,0.26666666666666666,,
CE09OSSM-MFD37-03-DOSTAD000,,,,,,,,,,,,,,,,,,,,,,0.03333333333333333,,,,,,,,,,,,,,,,,0.3333333333333333,1.0,1.0,1.0,0.7096774193548387,,,0.6333333333333333,1.0,1.0,1.0,0.5161290322580645,0.26666666666666666,,
CE09OSSM-RID26-01-ADCPTC000,,,,,,,,,,,,,,,,,,,,,,0.7333333333333333,0.8064516129032258,,,,,0.5483870967741935,0.1,,,,,,0.6451612903225806,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.967741935483871,1.0,,
CE09OSSM-RID26-04-VELPTA000,,,,,,,,,,,,,,,,,,,,,,0.7333333333333333,0.8064516129032258,,,,,0.5483870967741935,0.1,,,,,,0.6451612903225806,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.967741935483871,1.0,,
CE09OSSM-RID26-06-PHSEND000,,,,,,,,,,,,,,,,,,,,,,0.7333333333333333,0.8064516129032258,,,,,0.25806451612903225,0.06666666666666667,,,,,,0.6451612903225806,1.0,1.0,1.0,0.7333333333333333,,,,,,,0.6333333333333333,1.0,1.0,1.0,0.967741935483871,1.0,,
CE09OSSM-RID26-07-NUTNRB000,,,,,,,,,,,,,,,,,,,,,,0.7333333333333333,0.8064516129032258,,,,,0.5483870967741935,0.1,,,,,,,,,,,,,,,,,,,,,,,,
CE09OSSM-RID26-08-SPKIRB000,,,,,,,,,,,,,,,,,,,,,,0.6333333333333333,0.6774193548387096,,,,,0.4838709677419355,0.1,,,,,,0.5483870967741935,0.8666666666666667,0.8387096774193549,0.8709677419354839,0.8333333333333334,0.8387096774193549,0.8666666666666667,0.8709677419354839,0.8387096774193549,0.8571428571428571,0.8709677419354839,0.8,0.8709677419354839,0.8666666666666667,0.8387096774193549,0.8387096774193549,0.8666666666666667,,
CE09OSSM-RID27-01-OPTAAD000,,,,,,,,,,,,,,,,,,,,,,0.6333333333333333,0.6774193548387096,,,,,0.4838709677419355,0.1,,,,,,0.5483870967741935,0.8666666666666667,0.8387096774193549,0.8709677419354839,0.8666666666666667,0.8387096774193549,0.8666666666666667,0.8709677419354839,0.8387096774193549,0.8571428571428571,0.8709677419354839,0.5333333333333333,,,,,,,
CE09OSSM-RID27-02-FLORTD000,,,,,,,,,,,,,,,,,,,,,,0.6333333333333333,0.6774193548387096,,,,,0.4838709677419355,0.1,,,,,,0.5483870967741935,0.8666666666666667,0.8387096774193549,0.8709677419354839,0.8333333333333334,0.8387096774193549,0.8666666666666667,0.8709677419354839,0.8387096774193549,0.8571428571428571,0.8709677419354839,0.8333333333333334,0.8709677419354839,0.8666666666666667,0.8387096774193549,0.8709677419354839,0.8666666666666667,,
CE09OSSM-RID27-03-CTDBPC000,,,,,,,,,,,,,,,,,,,,,,0.7333333333333333,0.8064516129032258,,,,,0.5483870967741935,0.1,,,,,,0.6451612903225806,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.967741935483871,1.0,,
CE09OSSM-RID27-04-DOSTAD000,,,,,,,,,,,,,,,,,,,,,,0.6333333333333333,0.6774193548387096,,,,,0.4838709677419355,0.1,,,,,,0.5483870967741935,0.8666666666666667,0.8387096774193549,0.8709677419354839,0.8333333333333334,0.8387096774193549,0.8666666666666667,0.8709677419354839,0.8387096774193549,0.8571428571428571,0.8709677419354839,0.8,0.8709677419354839,0.8666666666666667,0.8387096774193549,0.8709677419354839,0.8666666666666667,,
CE09OSSM-SBD11-04-VELPTA000,,,,,,,,,,,,,,,,,,,,,,0.7333333333333333,1.0,1.0,1.0,1.0,0.8333333333333334,0.5483870967741935,1.0,1.0,1.0,1.0,1.0,1.0,0.8709677419354839,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9666666666666667,,
CE09OSSM-SBD11-06-METBKA000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE09OSSM-SBD12-04-PCO2AA000,,,,,,,,,,,,,,,,,,,,,,0.7,1.0,1.0,1.0,1.0,0.8333333333333334,0.5483870967741935,1.0,1.0,1.0,1.0,1.0,1.0,0.8709677419354839,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
CE09OSSM-SBD12-05-WAVSSA000,,,,,,,,,,,,,,,,,,,,,,0.7333333333333333,1.0,1.0,1.0,1.0,0.8333333333333334,0.5483870967741935,1.0,1.0,1.0,1.0,1.0,1.0,0.8709677419354839,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
